0,1
Applications outstanding at beginning of year,167
Applications received during the year.,515
Applicants assessed by Committees as 'Recommended'.,221
Applicants assessed by Committees as 'Unable to Recommend'.,254
Applications from Provincial or Territorial Court Judges. (Note: these candidates are not assessed. Committees comment only.),22
Applicants who withdrew.,3
Applicants appointed as superior court judges.,43
Applications outstanding at end of year,185
Number of Advisory Committee meetings held across Canada.,52
