0,1
"Applications outstanding as of November 1, 2010",235
Applications received during the year.,428
Applicants assessed by Committees as ‘Recommended'.,154
Applicants assessed by Committees as ‘Unable to Recommend'.,282
Applications from Provincial or Territorial Court Judges. (Note: these candidates are not assessed. Committees comment only.),10
Applicants who withdrew.,1
Applicants appointed as superior court judges.,46
"Applications outstanding as of October 31, 2011.",167
Number of Advisory Committee meetings held across Canada.,51
